ダウンロードした時刻：2022/11/05 05:41:35

,東京,東京,東京,東京,東京,東京,東京
年月日時,気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),降水量(mm)
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2021/12/31 1:00:00,4.1,8,1,0,1,8,1
2021/12/31 2:00:00,3.8,8,1,0,1,8,1
2021/12/31 3:00:00,4.0,8,1,0,1,8,1
2021/12/31 4:00:00,3.1,8,1,0,1,8,1
2021/12/31 5:00:00,4.0,8,1,0,1,8,1
2021/12/31 6:00:00,3.6,8,1,0,1,8,1
2021/12/31 7:00:00,2.6,8,1,0,1,8,1
2021/12/31 8:00:00,2.3,8,1,0,1,8,1
2021/12/31 9:00:00,4.1,8,1,0,1,8,1
2021/12/31 10:00:00,5.3,8,1,0,1,8,1
2021/12/31 11:00:00,5.3,8,1,0,1,8,1
2021/12/31 12:00:00,5.4,8,1,0,1,8,1
2021/12/31 13:00:00,5.0,8,1,0,1,8,1
2021/12/31 14:00:00,4.5,8,1,0,1,8,1
2021/12/31 15:00:00,4.5,8,1,0,1,8,1
2021/12/31 16:00:00,4.1,8,1,0,1,8,1
2021/12/31 17:00:00,3.3,8,1,0,1,8,1
2021/12/31 18:00:00,2.6,8,1,0,1,8,1
2021/12/31 19:00:00,1.5,8,1,0,1,8,1
2021/12/31 20:00:00,1.0,8,1,0,1,8,1
2021/12/31 21:00:00,1.4,8,1,0,1,8,1
2021/12/31 22:00:00,0.7,8,1,0,1,8,1
2021/12/31 23:00:00,0.6,8,1,0,1,8,1
2022/1/1 00:00:00,0.1,8,1,0,1,8,1
2022/1/1 1:00:00,0.7,8,1,0,1,8,1
2022/1/1 2:00:00,0.5,8,1,0,1,8,1
2022/1/1 3:00:00,0.5,8,1,0,1,8,1
2022/1/1 4:00:00,0.3,8,1,0,1,8,1
2022/1/1 5:00:00,-0.2,8,1,0,1,8,1
2022/1/1 6:00:00,-0.2,8,1,0,1,8,1
2022/1/1 7:00:00,-0.5,8,1,0,1,8,1
2022/1/1 8:00:00,1.5,8,1,0,1,8,1
2022/1/1 9:00:00,3.8,8,1,0,1,8,1
2022/1/1 10:00:00,5.0,8,1,0,1,8,1
2022/1/1 11:00:00,6.1,8,1,0,1,8,1
2022/1/1 12:00:00,6.8,8,1,0,1,8,1
2022/1/1 13:00:00,7.3,8,1,0,1,8,1
2022/1/1 14:00:00,7.1,8,1,0,1,8,1
2022/1/1 15:00:00,6.3,8,1,0,1,8,1
2022/1/1 16:00:00,5.6,8,1,0,1,8,1
2022/1/1 17:00:00,4.9,8,1,0,1,8,1
2022/1/1 18:00:00,4.4,8,1,0,1,8,1
2022/1/1 19:00:00,3.6,8,1,0,1,8,1
2022/1/1 20:00:00,3.0,8,1,0,1,8,1
2022/1/1 21:00:00,3.5,8,1,0,1,8,1
2022/1/1 22:00:00,3.8,8,1,0,1,8,1
2022/1/1 23:00:00,3.9,8,1,0,1,8,1
2022/1/2 00:00:00,3.0,8,1,0,1,8,1
2022/1/2 1:00:00,2.6,8,1,0,1,8,1
2022/1/2 2:00:00,1.8,8,1,0,1,8,1
2022/1/2 3:00:00,2.2,8,1,0,1,8,1
2022/1/2 4:00:00,1.3,8,1,0,1,8,1
2022/1/2 5:00:00,0.9,8,1,0,1,8,1
2022/1/2 6:00:00,0.9,8,1,0,1,8,1
2022/1/2 7:00:00,0.9,8,1,0,1,8,1
2022/1/2 8:00:00,1.4,8,1,0,1,8,1
2022/1/2 9:00:00,2.2,8,1,0,1,8,1
2022/1/2 10:00:00,3.2,8,1,0,1,8,1
2022/1/2 11:00:00,4.9,8,1,0,1,8,1
2022/1/2 12:00:00,6.8,8,1,0,1,8,1
2022/1/2 13:00:00,7.3,8,1,0,1,8,1
2022/1/2 14:00:00,6.8,8,1,0,1,8,1
2022/1/2 15:00:00,6.7,8,1,0,1,8,1
2022/1/2 16:00:00,6.8,8,1,0,1,8,1
2022/1/2 17:00:00,5.7,8,1,0,1,8,1
2022/1/2 18:00:00,4.9,8,1,0,1,8,1
2022/1/2 19:00:00,3.7,8,1,0,1,8,1
2022/1/2 20:00:00,4.6,8,1,0,1,8,1
2022/1/2 21:00:00,4.4,8,1,0,1,8,1
2022/1/2 22:00:00,2.0,8,1,0,1,8,1
2022/1/2 23:00:00,1.6,8,1,0,1,8,1
2022/1/3 00:00:00,1.4,8,1,0,1,8,1
