É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2022/11/05 05:40:39

,ã˙òH,ã˙òH,ã˙òH,ã˙òH,ã˙òH,ã˙òH,ã˙òH
îNåéì˙éû,ãCâ∑(Åé),ãCâ∑(Åé),ãCâ∑(Åé),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm)
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ
2022/7/31 1:00:00,18.8,8,1,0,1,8,1
2022/7/31 2:00:00,18.7,8,1,0,1,8,1
2022/7/31 3:00:00,18.8,8,1,0,1,8,1
2022/7/31 4:00:00,18.9,8,1,0,1,8,1
2022/7/31 5:00:00,18.5,8,1,0,1,8,1
2022/7/31 6:00:00,19.9,8,1,0,1,8,1
2022/7/31 7:00:00,22.2,8,1,0,1,8,1
2022/7/31 8:00:00,24.0,8,1,0,1,8,1
2022/7/31 9:00:00,25.9,8,1,0,1,8,1
2022/7/31 10:00:00,25.1,8,1,0,1,8,1
2022/7/31 11:00:00,28.9,8,1,0,1,8,1
2022/7/31 12:00:00,27.6,8,1,0,1,8,1
2022/7/31 13:00:00,30.2,8,1,0,1,8,1
2022/7/31 14:00:00,30.4,8,1,0,1,8,1
2022/7/31 15:00:00,33.0,8,1,0,1,8,1
2022/7/31 16:00:00,32.3,8,1,0,1,8,1
2022/7/31 17:00:00,31.3,8,1,0,1,8,1
2022/7/31 18:00:00,29.2,8,1,0,1,8,1
2022/7/31 19:00:00,26.5,8,1,0,1,8,1
2022/7/31 20:00:00,24.5,8,1,0,1,8,1
2022/7/31 21:00:00,22.9,8,1,0,1,8,1
2022/7/31 22:00:00,22.1,8,1,0,1,8,1
2022/7/31 23:00:00,21.3,8,1,0.0,0,8,1
2022/8/1 00:00:00,20.1,8,1,0,1,8,1
2022/8/1 1:00:00,19.2,8,1,0,1,8,1
2022/8/1 2:00:00,18.9,8,1,0,1,8,1
2022/8/1 3:00:00,18.2,8,1,0,1,8,1
2022/8/1 4:00:00,18.0,8,1,0,1,8,1
2022/8/1 5:00:00,18.0,8,1,0,1,8,1
2022/8/1 6:00:00,17.9,8,1,0,1,8,1
2022/8/1 7:00:00,19.0,8,1,0,1,8,1
2022/8/1 8:00:00,19.0,8,1,0,1,8,1
2022/8/1 9:00:00,18.6,8,1,0,1,8,1
2022/8/1 10:00:00,17.8,8,1,0,1,8,1
2022/8/1 11:00:00,18.6,8,1,0,1,8,1
2022/8/1 12:00:00,16.7,8,1,0,1,8,1
2022/8/1 13:00:00,18.8,8,1,0,1,8,1
2022/8/1 14:00:00,17.7,8,1,0,1,8,1
2022/8/1 15:00:00,17.3,8,1,0,1,8,1
2022/8/1 16:00:00,16.9,8,1,0,1,8,1
2022/8/1 17:00:00,16.4,8,1,0,1,8,1
2022/8/1 18:00:00,16.7,8,1,0,1,8,1
2022/8/1 19:00:00,16.7,8,1,0,1,8,1
2022/8/1 20:00:00,15.9,8,1,0.0,0,8,1
2022/8/1 21:00:00,15.1,8,1,0.0,0,8,1
2022/8/1 22:00:00,14.9,8,1,0.5,0,8,1
2022/8/1 23:00:00,14.5,8,1,0.5,0,8,1
2022/8/2 00:00:00,14.3,8,1,1.5,0,8,1
2022/8/2 1:00:00,14.0,8,1,2.5,0,8,1
2022/8/2 2:00:00,13.5,8,1,5.0,0,8,1
2022/8/2 3:00:00,13.1,8,1,7.5,0,8,1
2022/8/2 4:00:00,13.3,8,1,6.0,0,8,1
2022/8/2 5:00:00,13.4,8,1,6.0,0,8,1
2022/8/2 6:00:00,14.1,8,1,2.0,0,8,1
2022/8/2 7:00:00,15.0,8,1,0.0,0,8,1
2022/8/2 8:00:00,15.5,8,1,0.5,0,8,1
2022/8/2 9:00:00,16.5,8,1,1.0,0,8,1
2022/8/2 10:00:00,17.0,8,1,0.0,0,8,1
2022/8/2 11:00:00,17.1,8,1,1.5,0,8,1
2022/8/2 12:00:00,17.6,8,1,0.0,0,8,1
2022/8/2 13:00:00,17.2,8,1,0.5,0,8,1
2022/8/2 14:00:00,17.5,8,1,1.0,0,8,1
2022/8/2 15:00:00,17.7,8,1,0.0,0,8,1
2022/8/2 16:00:00,17.4,8,1,0.0,0,8,1
2022/8/2 17:00:00,17.1,8,1,0.0,0,8,1
2022/8/2 18:00:00,16.3,8,1,0.0,0,8,1
2022/8/2 19:00:00,15.9,8,1,0.5,0,8,1
2022/8/2 20:00:00,15.2,8,1,0.0,0,8,1
2022/8/2 21:00:00,14.8,8,1,0.0,0,8,1
2022/8/2 22:00:00,14.8,8,1,0.0,0,8,1
